iso3,metric,age_band,sex,value,year,source
ALB,child_dependency_ratio,,,25.425255235706,2024,World Bank WDI (UN World Population Prospects)
AND,child_dependency_ratio,,,16.4693746406467,2024,World Bank WDI (UN World Population Prospects)
AUT,child_dependency_ratio,,,21.8336176557089,2024,World Bank WDI (UN World Population Prospects)
BEL,child_dependency_ratio,,,25.2122700410657,2024,World Bank WDI (UN World Population Prospects)
BGR,child_dependency_ratio,,,22.7961514848558,2024,World Bank WDI (UN World Population Prospects)
BIH,child_dependency_ratio,,,20.1412597770913,2024,World Bank WDI (UN World Population Prospects)
BLR,child_dependency_ratio,,,24.6792238960994,2024,World Bank WDI (UN World Population Prospects)
CHE,child_dependency_ratio,,,22.9905972021443,2024,World Bank WDI (UN World Population Prospects)
CYP,child_dependency_ratio,,,23.1882410799546,2024,World Bank WDI (UN World Population Prospects)
CZE,child_dependency_ratio,,,24.1498404804772,2024,World Bank WDI (UN World Population Prospects)
DEU,child_dependency_ratio,,,22.1167431988536,2024,World Bank WDI (UN World Population Prospects)
DNK,child_dependency_ratio,,,24.743060883408,2024,World Bank WDI (UN World Population Prospects)
ESP,child_dependency_ratio,,,19.5983514726874,2024,World Bank WDI (UN World Population Prospects)
EST,child_dependency_ratio,,,24.7959485503797,2024,World Bank WDI (UN World Population Prospects)
FIN,child_dependency_ratio,,,23.8055704152453,2024,World Bank WDI (UN World Population Prospects)
FRA,child_dependency_ratio,,,26.9039503596278,2024,World Bank WDI (UN World Population Prospects)
GBR,child_dependency_ratio,,,27.1420610059948,2024,World Bank WDI (UN World Population Prospects)
GRC,child_dependency_ratio,,,21.0363358186494,2024,World Bank WDI (UN World Population Prospects)
HRV,child_dependency_ratio,,,22.139330389917,2024,World Bank WDI (UN World Population Prospects)
HUN,child_dependency_ratio,,,22.2912834279654,2024,World Bank WDI (UN World Population Prospects)
IRL,child_dependency_ratio,,,28.306322291432,2024,World Bank WDI (UN World Population Prospects)
ISL,child_dependency_ratio,,,26.6752402080962,2024,World Bank WDI (UN World Population Prospects)
ITA,child_dependency_ratio,,,18.7330776087373,2024,World Bank WDI (UN World Population Prospects)
LIE,child_dependency_ratio,,,21.9378636346351,2024,World Bank WDI (UN World Population Prospects)
LTU,child_dependency_ratio,,,22.5803056142694,2024,World Bank WDI (UN World Population Prospects)
LUX,child_dependency_ratio,,,22.9499743243214,2024,World Bank WDI (UN World Population Prospects)
LVA,child_dependency_ratio,,,24.5235852072898,2024,World Bank WDI (UN World Population Prospects)
MCO,child_dependency_ratio,,,26.7540478026214,2024,World Bank WDI (UN World Population Prospects)
MDA,child_dependency_ratio,,,30.9200179515698,2024,World Bank WDI (UN World Population Prospects)
MKD,child_dependency_ratio,,,25.8205341338161,2024,World Bank WDI (UN World Population Prospects)
MLT,child_dependency_ratio,,,19.5193629425985,2024,World Bank WDI (UN World Population Prospects)
MNE,child_dependency_ratio,,,28.3049344873182,2024,World Bank WDI (UN World Population Prospects)
NLD,child_dependency_ratio,,,23.3034206757193,2024,World Bank WDI (UN World Population Prospects)
NOR,child_dependency_ratio,,,24.8957962770645,2024,World Bank WDI (UN World Population Prospects)
POL,child_dependency_ratio,,,22.7603304673098,2024,World Bank WDI (UN World Population Prospects)
PRT,child_dependency_ratio,,,20.427386198577,2024,World Bank WDI (UN World Population Prospects)
ROU,child_dependency_ratio,,,24.4400852278362,2024,World Bank WDI (UN World Population Prospects)
SMR,child_dependency_ratio,,,18.7629516172628,2024,World Bank WDI (UN World Population Prospects)
SRB,child_dependency_ratio,,,22.7148741599639,2024,World Bank WDI (UN World Population Prospects)
SVK,child_dependency_ratio,,,23.9891364609285,2024,World Bank WDI (UN World Population Prospects)
SVN,child_dependency_ratio,,,23.1684392045413,2024,World Bank WDI (UN World Population Prospects)
SWE,child_dependency_ratio,,,27.2787551994321,2024,World Bank WDI (UN World Population Prospects)
UKR,child_dependency_ratio,,,20.6831546181875,2024,World Bank WDI (UN World Population Prospects)
USA,child_dependency_ratio,,,26.7574698665921,2024,World Bank WDI (UN World Population Prospects)
XKX,child_dependency_ratio,,,29.9224671328063,2024,World Bank WDI (UN World Population Prospects)
ALB,median_age_years,,,37.85,2024,World Bank WDI (derived: median from 5-year age bands)
AND,median_age_years,,,44.48,2024,World Bank WDI (derived: median from 5-year age bands)
AUT,median_age_years,,,44.4,2024,World Bank WDI (derived: median from 5-year age bands)
BEL,median_age_years,,,42.68,2024,World Bank WDI (derived: median from 5-year age bands)
BGR,median_age_years,,,45.52,2024,World Bank WDI (derived: median from 5-year age bands)
BIH,median_age_years,,,46.33,2024,World Bank WDI (derived: median from 5-year age bands)
BLR,median_age_years,,,42.03,2024,World Bank WDI (derived: median from 5-year age bands)
CHE,median_age_years,,,43.67,2024,World Bank WDI (derived: median from 5-year age bands)
CYP,median_age_years,,,39.2,2024,World Bank WDI (derived: median from 5-year age bands)
CZE,median_age_years,,,44.14,2024,World Bank WDI (derived: median from 5-year age bands)
DEU,median_age_years,,,46.32,2024,World Bank WDI (derived: median from 5-year age bands)
DNK,median_age_years,,,42.28,2024,World Bank WDI (derived: median from 5-year age bands)
ESP,median_age_years,,,46.36,2024,World Bank WDI (derived: median from 5-year age bands)
EST,median_age_years,,,43.31,2024,World Bank WDI (derived: median from 5-year age bands)
FIN,median_age_years,,,44.03,2024,World Bank WDI (derived: median from 5-year age bands)
FRA,median_age_years,,,43.01,2024,World Bank WDI (derived: median from 5-year age bands)
GBR,median_age_years,,,40.97,2024,World Bank WDI (derived: median from 5-year age bands)
GRC,median_age_years,,,47.26,2024,World Bank WDI (derived: median from 5-year age bands)
HRV,median_age_years,,,46.0,2024,World Bank WDI (derived: median from 5-year age bands)
HUN,median_age_years,,,44.56,2024,World Bank WDI (derived: median from 5-year age bands)
IRL,median_age_years,,,39.72,2024,World Bank WDI (derived: median from 5-year age bands)
ISL,median_age_years,,,37.12,2024,World Bank WDI (derived: median from 5-year age bands)
ITA,median_age_years,,,48.76,2024,World Bank WDI (derived: median from 5-year age bands)
LIE,median_age_years,,,45.35,2024,World Bank WDI (derived: median from 5-year age bands)
LTU,median_age_years,,,43.09,2024,World Bank WDI (derived: median from 5-year age bands)
LUX,median_age_years,,,40.24,2024,World Bank WDI (derived: median from 5-year age bands)
LVA,median_age_years,,,44.32,2024,World Bank WDI (derived: median from 5-year age bands)
MCO,median_age_years,,,55.03,2024,World Bank WDI (derived: median from 5-year age bands)
MDA,median_age_years,,,39.15,2024,World Bank WDI (derived: median from 5-year age bands)
MKD,median_age_years,,,41.64,2024,World Bank WDI (derived: median from 5-year age bands)
MLT,median_age_years,,,41.78,2024,World Bank WDI (derived: median from 5-year age bands)
MNE,median_age_years,,,40.55,2024,World Bank WDI (derived: median from 5-year age bands)
NLD,median_age_years,,,42.43,2024,World Bank WDI (derived: median from 5-year age bands)
NOR,median_age_years,,,40.68,2024,World Bank WDI (derived: median from 5-year age bands)
POL,median_age_years,,,42.87,2024,World Bank WDI (derived: median from 5-year age bands)
PRT,median_age_years,,,47.5,2024,World Bank WDI (derived: median from 5-year age bands)
ROU,median_age_years,,,43.78,2024,World Bank WDI (derived: median from 5-year age bands)
SMR,median_age_years,,,48.99,2024,World Bank WDI (derived: median from 5-year age bands)
SRB,median_age_years,,,45.12,2024,World Bank WDI (derived: median from 5-year age bands)
SVK,median_age_years,,,42.73,2024,World Bank WDI (derived: median from 5-year age bands)
SVN,median_age_years,,,45.29,2024,World Bank WDI (derived: median from 5-year age bands)
SWE,median_age_years,,,41.14,2024,World Bank WDI (derived: median from 5-year age bands)
UKR,median_age_years,,,43.2,2024,World Bank WDI (derived: median from 5-year age bands)
USA,median_age_years,,,39.3,2024,World Bank WDI (derived: median from 5-year age bands)
XKX,median_age_years,,,33.04,2024,World Bank WDI (derived: median from 5-year age bands)
ALB,old_age_dependency_ratio,,,25.5490385989425,2024,World Bank WDI (UN World Population Prospects)
AND,old_age_dependency_ratio,,,22.0955795312341,2024,World Bank WDI (UN World Population Prospects)
AUT,old_age_dependency_ratio,,,31.6215972647535,2024,World Bank WDI (UN World Population Prospects)
BEL,old_age_dependency_ratio,,,32.4025966172098,2024,World Bank WDI (UN World Population Prospects)
BGR,old_age_dependency_ratio,,,34.6960740519605,2024,World Bank WDI (UN World Population Prospects)
BIH,old_age_dependency_ratio,,,34.3419830169952,2024,World Bank WDI (UN World Population Prospects)
BLR,old_age_dependency_ratio,,,26.7528481097664,2024,World Bank WDI (UN World Population Prospects)
CHE,old_age_dependency_ratio,,,30.7842677220695,2024,World Bank WDI (UN World Population Prospects)
CYP,old_age_dependency_ratio,,,21.0876448700777,2024,World Bank WDI (UN World Population Prospects)
CZE,old_age_dependency_ratio,,,32.6948860839892,2024,World Bank WDI (UN World Population Prospects)
DEU,old_age_dependency_ratio,,,36.8802967502303,2024,World Bank WDI (UN World Population Prospects)
DNK,old_age_dependency_ratio,,,32.8922948462902,2024,World Bank WDI (UN World Population Prospects)
ESP,old_age_dependency_ratio,,,32.0712005028159,2024,World Bank WDI (UN World Population Prospects)
EST,old_age_dependency_ratio,,,33.7703993677409,2024,World Bank WDI (UN World Population Prospects)
FIN,old_age_dependency_ratio,,,38.8765090304458,2024,World Bank WDI (UN World Population Prospects)
FRA,old_age_dependency_ratio,,,36.0997054234682,2024,World Bank WDI (UN World Population Prospects)
GBR,old_age_dependency_ratio,,,30.7979315083777,2024,World Bank WDI (UN World Population Prospects)
GRC,old_age_dependency_ratio,,,38.0958702317535,2024,World Bank WDI (UN World Population Prospects)
HRV,old_age_dependency_ratio,,,36.8709578578729,2024,World Bank WDI (UN World Population Prospects)
HUN,old_age_dependency_ratio,,,32.494481686451,2024,World Bank WDI (UN World Population Prospects)
IRL,old_age_dependency_ratio,,,24.2433006735515,2024,World Bank WDI (UN World Population Prospects)
ISL,old_age_dependency_ratio,,,23.4935756718639,2024,World Bank WDI (UN World Population Prospects)
ITA,old_age_dependency_ratio,,,38.7896110976605,2024,World Bank WDI (UN World Population Prospects)
LIE,old_age_dependency_ratio,,,31.8819637220976,2024,World Bank WDI (UN World Population Prospects)
LTU,old_age_dependency_ratio,,,30.9646030119124,2024,World Bank WDI (UN World Population Prospects)
LUX,old_age_dependency_ratio,,,22.512306062683,2024,World Bank WDI (UN World Population Prospects)
LVA,old_age_dependency_ratio,,,34.5832249813492,2024,World Bank WDI (UN World Population Prospects)
MCO,old_age_dependency_ratio,,,71.8118735543562,2024,World Bank WDI (UN World Population Prospects)
MDA,old_age_dependency_ratio,,,25.3305755559458,2024,World Bank WDI (UN World Population Prospects)
MKD,old_age_dependency_ratio,,,27.6654529301305,2024,World Bank WDI (UN World Population Prospects)
MLT,old_age_dependency_ratio,,,30.2773432768219,2024,World Bank WDI (UN World Population Prospects)
MNE,old_age_dependency_ratio,,,27.8446427855912,2024,World Bank WDI (UN World Population Prospects)
NLD,old_age_dependency_ratio,,,31.7875735580646,2024,World Bank WDI (UN World Population Prospects)
NOR,old_age_dependency_ratio,,,28.888807321017,2024,World Bank WDI (UN World Population Prospects)
POL,old_age_dependency_ratio,,,30.9656430387922,2024,World Bank WDI (UN World Population Prospects)
PRT,old_age_dependency_ratio,,,39.1438698265553,2024,World Bank WDI (UN World Population Prospects)
ROU,old_age_dependency_ratio,,,31.0730853265226,2024,World Bank WDI (UN World Population Prospects)
SMR,old_age_dependency_ratio,,,34.3003874222903,2024,World Bank WDI (UN World Population Prospects)
SRB,old_age_dependency_ratio,,,36.007897489754,2024,World Bank WDI (UN World Population Prospects)
SVK,old_age_dependency_ratio,,,28.2146320923541,2024,World Bank WDI (UN World Population Prospects)
SVN,old_age_dependency_ratio,,,34.2802904149737,2024,World Bank WDI (UN World Population Prospects)
SWE,old_age_dependency_ratio,,,33.318802678057,2024,World Bank WDI (UN World Population Prospects)
UKR,old_age_dependency_ratio,,,28.239354443179,2024,World Bank WDI (UN World Population Prospects)
USA,old_age_dependency_ratio,,,27.690572743003,2024,World Bank WDI (UN World Population Prospects)
XKX,old_age_dependency_ratio,,,14.5548112786942,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,0-4,female,3.862282369040413,1960,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,0-4,female,2.4989188594431537,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,0-4,male,4.0731812199774575,1960,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,0-4,male,2.633175002768797,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,10-14,female,3.9718377104611124,1960,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,10-14,female,3.028719229966091,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,10-14,male,4.1629693862028745,1960,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,10-14,male,3.181603857022793,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,15-19,female,3.4268472628464264,1960,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,15-19,female,2.8951414833050695,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,15-19,male,3.489026650972774,1960,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,15-19,male,3.04288472968224,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,20-24,female,3.172536198997401,1960,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,20-24,female,2.7969832595230546,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,20-24,male,3.1367327645661685,1960,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,20-24,male,2.95718591017471,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,25-29,female,3.0947881088780895,1960,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,25-29,female,3.1316089096345476,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,25-29,male,3.142580092698853,1960,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,25-29,male,3.30712744753789,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,30-34,female,3.2531678768479413,1960,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,30-34,female,3.363737484104769,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,30-34,male,3.253929327215089,1960,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,30-34,male,3.4544910804623044,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,35-39,female,3.5971755038706963,1960,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,35-39,female,3.3262582334802,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,35-39,male,3.556419779457638,1960,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,35-39,male,3.265215524238745,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,40-44,female,3.2727327619707487,1960,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,40-44,female,3.3252189875258873,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,40-44,male,3.1661659701113365,1960,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,40-44,male,3.2506574204954113,2024,World Bank WDI (UN World Population Prospects)
GBR,pop_band_share_pct,45-49,female,3.598681229032801,1960,World Bank WDI (UN World Population Prospects)
